_ID,_Gruppo,_DataOraIncidente,_Localizzazione1,_Localizzazione2,_Strada1,_DaSpecificare,_NaturaIncidente,_ParticolaritaStrade,_TipoStrada,_FondoStradale,_Pavimentazione,_Segnaletica,_CondizioneAtmosferica,_Traffico,_Visibilita,_Illuminazione,_NUM_FERITI,_NUM_RISERVATA,_NUM_MORTI,_NUM_ILLESI,lon,lat,_CONFERMATO,__prefix,_Strada02,_Strada2,_Chilometrica
2563822,17,2015-11-01T00:00:00,Strada Urbana,da specificare,VIA ALBERICO II,pross. n. 4,Veicolo in marcia contro veicolo in sosta,Rettilineo,Una carreggiata a senso unico di marcia,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Scarso,Buona,Ore Diurne,0,0,0,1,12.4627,41.90496,True,z,,,
2563579,17,2015-11-01T00:05:00,Strada Urbana,da specificare,VIA LEONE IV,in prossimitíæ di v.le Vaticano,Tamponamento,Rettilineo,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Scarso,Sufficiente,Sufficiente,0,0,0,5,12.45556,41.90763,True,z,,,
2565177,1,2015-11-01T00:10:00,Strada Urbana,all'intersezione con,PONTE GARIBALDI,,Tamponamento,Intersezione semaforizzata,Una carreggiata a senso unico di marcia,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Normale,Buona,Sufficiente,0,0,0,5,12.47456,41.89112,True,z,LUNGOTEVERE DEI VALLATI,LUNGOTEVERE DEI VALLATI,
2562652,6,2015-11-01T00:50:00,Strada Urbana,all'intersezione con,VIA GABRIO SERBELLONI,,Scontro frontale-laterale DX fra veicoli in marcia,Incrocio,Una carreggiata a senso unico di marcia,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Scarso,Sufficiente,Sufficiente,1,0,0,4,12.54109,41.87933,True,z,VIA GALEAZZO ALESSI,VIA GALEAZZO ALESSI,
2563753,1,2015-11-01T01:10:00,Strada Urbana,in prossimitíæ,VIALE CASTRO PRETORIO,,Veicolo in marcia contro ostacolo accidentale,Rettilineo,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Normale,Buona,Sufficiente,0,0,0,1,12.50626,41.90454,True,z,del civico n.,,66-B
2562270,2,2015-11-01T02:15:00,Strada Urbana,in corrispondenza,VIA SALARIA,,Veicolo in marcia contro veicoli in sosta,Rettilineo,Una carreggiata a doppio senso,Asciutto,Asfaltata,Orizzontale,Sereno,Scarso,Sufficiente,Sufficiente,1,0,0,2,12.50433,41.92516,True,z,del civico n.,,346
2563651,12,2015-11-01T03:00:00,Strada Urbana,da specificare,VIA CRISTOFORO COLOMBO,DIR FUORI ROMA ALTEZZA VIA GENOCCHI,Veicolo in marcia contro ostacolo fisso,Rettilineo,Una carreggiata a senso unico di marcia,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Scarso,Sufficiente,Insufficiente,2,0,0,0,12.44704,41.80373,False,z,,,
2563217,15,2015-11-01T03:20:00,Strada Urbana,all'intersezione con,VIA ERMANNO WOLF FERRARI,,Scontro laterale fra veicoli in marcia,Incrocio,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Scarso,Buona,Sufficiente,3,0,0,1,12.38269,41.74014,False,z,VIALE DI CASTEL PORZIANO,VIALE DI CASTEL PORZIANO,
2562542,20,2015-11-01T03:30:00,Strada Urbana,all'intersezione con,VIA CONCESIO,,Veicolo in marcia contro veicoli in sosta,Incrocio,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Normale,Sufficiente,Sufficiente,0,0,0,2,12.48347,42.00782,True,z,VIA DI VALLE MURICANA,VIA DI VALLE MURICANA,
2563603,7,2015-11-01T03:40:00,Strada Urbana,all'intersezione con,VIALE PALMIRO TOGLIATTI,,Scontro frontale-laterale SX fra veicoli in marcia,Intersezione semaforizzata,Due carreggiate,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Normale,Buona,Sufficiente,4,0,0,0,12.57291,41.88085,True,z,VIA DEI PLATANI,VIA DEI PLATANI,
2564300,3,2015-11-01T04:30:00,Strada Urbana,all'intersezione semaforizzata con,VIALE DELLA SERENISSIMA,,Scontro frontale-laterale SX fra veicoli in marcia,Incrocio,Pií_ di due carreggiate,Asciutto,Asfaltata,Temporanea di cantiere,Sereno,Scarso,Buona,Sufficiente,1,0,0,3,12.55867,41.89665,False,z,VIALE DELLA VENEZIA GIULIA,VIALE DELLA VENEZIA GIULIA,
2565654,17,2015-11-01T04:30:00,Strada Urbana,all'intersezione con,PIAZZALE LUIGI STURZO,,Scontro frontale-laterale DX fra veicoli in marcia,Intersezione stradale segnalata,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Scarso,Sufficiente,Sufficiente,4,0,0,0,12.46727,41.83414,True,z,VIALE DELL'ASTRONOMIA,VIALE DELL'ASTRONOMIA,
2563647,4,2015-11-01T04:30:00,Strada Urbana,da specificare,VIA FORNACE VIGNOLO,"50 m apertura p.c. ""lago azzurro""",Veicolo in marcia contro ostacolo fisso,Curva a visuale libera,Una carreggiata a doppio senso,Asciutto,Asfaltata,Orizzontale,Sereno,Scarso,Buona,Inesistente,0,0,0,1,12.50231,41.99114,True,z,,,
2564785,1,2015-11-01T04:45:00,Strada Urbana,all'intersezione semaforizzata con,VIALE MANZONI,,Scontro frontale-laterale DX fra veicoli in marcia,Intersezione semaforizzata,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Scarso,Buona,Sufficiente,1,0,0,3,12.50772,41.89117,True,z,VIA DI S. CROCE IN GERUSALEMME,VIA DI S. CROCE IN GERUSALEMME,
2563767,2,2015-11-01T05:00:00,Strada Urbana,in prossimitíæ,VIALE REGINA MARGHERITA,,Investimento di pedone,Rettilineo,Pií_ di due carreggiate,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Scarso,Sufficiente,Sufficiente,1,0,0,2,12.50051,41.91773,True,z,del civico n.,,64
2563248,15,2015-11-01T07:00:00,Strada Urbana,da specificare,VIA DELLE VIGNE,fronte civico 98,Veicolo in marcia contro ostacolo fisso,Rettilineo,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Scarso,Buona,Ore Diurne,1,0,0,0,12.42195,41.84034,True,z,,,
2563141,5,2015-11-01T07:15:00,Strada Urbana,all'intersezione con,PIAZZA RICCARDO BALSAMO CRIVELLI,,Tamponamento,Incrocio,Due carreggiate,Asciutto,Asfaltata,Orizzontale,Sereno,Scarso,Buona,Ore Diurne,1,0,0,2,12.55325,41.9057,False,z,VIA ALBERTO BERGAMINI,VIA ALBERTO BERGAMINI,
2564306,3,2015-11-01T08:40:00,Strada Urbana,da specificare,CIRCONVALLAZIONE NOMENTANA,in prossimitíæ civico fronte 580,Tamponamento,Rettilineo,Una carreggiata a senso unico di marcia,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Normale,Buona,Ore Diurne,0,0,0,3,12.5264,41.92058,True,z,,,
2563619,1,2015-11-01T08:55:00,Strada Urbana,all'intersezione con,VIA PRINCIPE AMEDEO,,Veicolo in marcia contro veicoli in sosta,Incrocio,Una carreggiata a senso unico di marcia,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Scarso,Buona,Ore Diurne,0,0,0,5,12.50779,41.89434,True,z,VIA CAIROLI,VIA CAIROLI,
2563673,2,2015-11-01T09:30:00,Strada Urbana,in prossimitíæ,VIA MASSACIUCCOLI,,Veicolo in marcia contro ostacolo accidentale,Rettilineo,Una carreggiata a senso unico di marcia,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Scarso,Buona,Ore Diurne,0,0,0,1,12.51488,41.92641,True,z,del civico n.,,30
2562626,13,2015-11-01T09:40:00,Strada Urbana,da specificare,VIA DI PIANA BELLA,"ALT. INGRESSO CIMITERO ""NUOVO""",Scontro laterale fra veicoli in marcia,Rettilineo,Una carreggiata a doppio senso,Asciutto,Sterrata,Assente,Sereno,Normale,Buona,Ore Diurne,0,0,0,2,12.30499,41.7565,False,z,,,
2563772,2,2015-11-01T09:50:00,Strada Urbana,da specificare,CIRCONVALLAZIONE SALARIA,dir. Olipmico alt. svincolo v.le Etiopia,Veicolo in marcia contro ostacolo accidentale,Rettilineo,Due carreggiate,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Normale,Buona,Ore Diurne,0,0,0,1,12.52597,41.93075,True,z,,,
2563282,8,2015-11-01T10:00:00,Statale entro l'abitato,all'intersezione con,VIA CASILINA,,Scontro frontale-laterale DX fra veicoli in marcia,Incrocio,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Normale,Buona,Ore Diurne,0,0,0,3,12.6857,41.86264,True,z,VIA DI PRATAPORCI,VIA DI PRATAPORCI,
